Title,Description
"You, with a View","Two weeks on the road... stuck in a car with your high-school enemy.Noelle Shepard is grieving the loss of her beloved grandmother when she discovers decades-old photos and letters that hint to a forbidden love in her gram\'s past. Needing to know the full story, she creates a TikTok video appealing for information - and it goes viral.Through her video, she manages to track down her grandmother\'s secret love, Paul, who offers to take her on the honeymoon road-trip he and Gram planned but never got to go on.Noelle jumps at the chance to make this one last connection with her grandmother. There\'s just one problem - Paul\'s grandson is Noelle\'s frustratingly handsome high-school rival Theo.And Theo has to come, too.It\'s only two weeks. Surely Noelle can survive that long? But with one car between them - and often only one bed - it doesn\'t take long for things to heat up..."
Dead Mercenary&#39;s Trail (Jake Armitage Thriller Book 2),"The road to hell is paved with good intentions...and deadly.\nTHE NEXT MIND-BLOWING INSTALLMENT IN THE JAKE ARMITAGE SERIES!\n\nAn assassination attempt in the South China Sea once again increases the body count and forces NSA contractor Jake Armitage back into the old game. After five months sailing on a yacht the past has again caught up with him.\nA message sends Jake to Manila where a contact from his past surfaces. The offer he cannot refuse.\nFrom a heated assassination in Paris, a new contract leads to Japan where an outbreak of terrorism threatens Tokyo and the free world.\nBut who is the enemy: is it an arms dealer supplying a doomsday terrorist cult? Or is the source a much larger underground organization hellbent on world domination...\nMoreover, his duty to alliances could take away everything he cherishes and have the ultimate price.\nJoin Jake Armitage in the second and latest high-stake installment in the series."
"Curvy Girls Can&#39;t Date Quarterbacks (The Curvy Girls Club, #1)","Curvy girls deserve happily ever afters too.\n\nI’m a big girl, “plus-sized,” whatever. I’m sick of hearing about it, especially since my doctor diagnosed me with PCOS. So when Mean Girl Merritt shot her mouth off about how fat people should just lose weight, I couldn’t take it anymore.\n\nAnd now I’ve got a huge problem. To prove curvy girls like me can get happily-ever-afters too, I have to get our school’s quarterback, Beckett Langley, to take me to homecoming. And he doesn’t know I even exist.\n\nBut it’s not hopeless. Four other girls just like me are willing to help, because enough is enough.\n\nI will not lose this bet."
Out on a Limb,"Winnifred &quot;Win&quot; McNulty has always been wildly independent. Not one to be coddled for her limb difference, Win has spent most of her life trying to prove that she can do it all on her own. And, with some minor adjustments, she\'s done just fine.\n\nThat is until she has a one-night stand with the incredibly charming Bo, a perfect stranger. And that one night changes everything.\n\nWhile Bo is surprisingly elated to step up to the plate, Win finds herself unsure of whether she can handle this new challenge on her own or if she’ll need a helping hand.\n\nTogether, Win and Bo decide to get to know one another as friends and nothing more. But, as they both should know by now, life rarely goes according to plan."
"Dragon&#39;s Temptation (Shifters and Forbidden Fates, #1)","My boss is a creep who has made my life miserable for years. My life changes forever when I’m forced into a meeting with the company’s elusive owner.\n\nColter is smoking hot, dangerous, powerful… and arrogant. The tension between us is palpable, but he’s the bad-boy type I’ve been warned about. I need to stay away from him, but he’s everything my body craves.\n\nMy life is in imminent danger when a blood test reveals my true heritage. Colter—who I learn is a dragon shifter who rules with an iron fist—becomes fiercely protective of me. but he won’t tell me what the blood test revealed.\n\nI get dragged into a world of danger. A world that includes shifters, vampires, and other beings I never believed existed.\n\nColter must help me navigate this new existence to reach my extraordinary potential. But first, I have to learn how to trust him.\n\n\n18+"
The Centre,"A darkly comic, boundary-pushing debut following an adrift Pakistani translator in London who attends a mysterious language school which boasts complete fluency in just ten days, but at a secret, sinister cost.\n\nAnisa Ellahi dreams of being a translator of ‘great works of literature’, but instead mostly spends her days subtitling Bollywood films in her flat in London while living off her parents’ generous allowance and discussing the ‘underside of life’ with her best friend, Naima. Then she meets Adam, who has successfully leveraged his savant-level aptitude for languages into an enviable career. At first, this only adds to her sense of inadequacy, but when Adam learns to speak Urdu with native fluency practically overnight, Anisa forces him to reveal his secret.\n\nAdam tells Anisa about the Centre, an elite, invite-only program that guarantees absolute fluency in any language in just ten days. Sceptical but intrigued, Anisa enrols. Stripped of her belongings and all contact with the outside world, she undergoes the Centre\'s strange and rigorous processes. But as she enmeshes herself further within the organisation, seduced by all that it’s made possible, she soon realizes the disturbing, hidden cost of its services.\n\nBy turns dark, funny, and surreal, and with twists page-turning and shocking, The Centre takes the reader on a journey through Karachi, London, and New Delhi, interrogating the sticky politics of language, translation, and appropriation with biting specificity, and ultimately asking: what price would you be willing to pay for success?"
"Surge (The Taking, #0.5)","They’re running out of time…\n\nSixteen-year-old alien Val Stone was born for one mission—to kill teenage Randolf “Rolf” Cartier before he fulfills an age-old prophecy, becomes the future American president, and murderers thousands of her kind. Val is ready to sacrifice herself for the good of her people. She knows every aspect of Rolf’s life and is prepared to strike.\n\nBut what she doesn’t know is that Rolf’s been watching her, too. Waiting for her. Ready to defeat her and save himself. Only when the day arrives, doubt overcomes purpose, and they discover the prophecy was all a hoax.\n\nOh, and they can’t seem to stop thinking about each other.\n\nNow they’re running against the clock, desperate to reveal who created the fake prophecy before tensions erupt and there\'s nothing left but the memory of a species called human."
Straight Dad (Fixer Brothers Construction Co Book 2),"Straight dads don’t get crushes on 22-year-old star quarterbacks. Right? Kace Tomlin is the nation’s hottest, youngest pro quarterback at age 22, and he’s out and proud. When Kace hired my little construction company to work on his multi-million dollar mansion, it was the quickest hell yes of my life. Usually I’m in Dad Mode, 24/7—boring, predictable, and dependable. But being plunged into a young hotshot football player’s world is anything but predictable. I can’t stop watching him. Craving him. And after one blazing hot night, we can’t keep our hands off each other. I hate that he gets my wires all crossed, and makes me feel like I’m nowhere close to straight. But Kace has a TV crew filming every moment of his private life. We’re on the show now, for all of Kace’s fans to see, keeping our smoldering secret hidden. Is this all just another game? Or will he be reckless with me, for the whole world to see?"
Burn the Place: A Memoir,"A singular, powerfully expressive debut memoir that traces one chef’s struggle to find her place and what happens once she does.\n\nBurn the Place is a galvanizing memoir that chronicles Iliana Regan’s journey from foraging on the family farm to running her Michelin-starred restaurant, Elizabeth. Her story is raw like that first bite of wild onion, alive with startling imagery, and told with uncommon emotional power.\n\nRegan grew up the youngest of four headstrong girls on a small farm in Northwest Indiana. While gathering raspberries as a toddler, Regan preternaturally understood to pick just the ripe fruit and leave the rest for another day. In the family’s leaf-strewn fields, the orange flutes of chanterelles beckoned her while they eluded others.\n\nRegan has had this intense, almost otherworldly connection with food and the earth it comes from since her childhood, but connecting with people has always been more difficult. She was a little girl who longed to be a boy, gay in an intolerant community, an alcoholic before she turned twenty, and a woman in an industry dominated by men—she often felt she “wasn’t made for this world,” and as far as she could tell, the world tended to agree. But as she learned to cook in her childhood farmhouse, got her first restaurant job at age fifteen, taught herself cutting-edge cuisine while running a “new gatherer” underground supper club, and worked her way from front-of-house staff to running her own kitchen, Regan found that food could help her navigate the strangeness of the world around her.\n\nRegan cooks with instinct, memory, and an emotional connection to her ingredients that can’t be taught. Written from that same place of instinct and emotion, Burn the Place tells Regan’s story in raw and vivid prose and brings readers into a world—from the Indiana woods to elite Chicago kitchens—that is entirely original and unforgettable."
A Theatre for Dreamers,"1960. The world is dancing on the edge of revolution, and nowhere more so than on the Greek island of Hydra, where a circle of poets, painters and musicians live tangled lives, ruled by the writers Charmian Clift and George Johnston, troubled king and queen of bohemia. Forming within this circle is a triangle: its points the magnetic, destructive writer Axel Jensen, his dazzling wife Marianne Ihlen, and a young Canadian poet named Leonard Cohen.  Into their midst arrives teenage Erica, with little more than a bundle of blank notebooks and her grief for her mother. Settling on the periphery of this circle, she watches, entranced and disquieted, as a paradise unravels.  Burning with the heat and light of Greece, A Theatre for Dreamers is a spellbinding novel about utopian dreams and innocence lost – and the wars waged between men and women on the battlegrounds of genius."
Letter to the American Church,"In an earnest and searing wake-up call, the author of the bestseller  Pastor, Martyr, Prophet, Spy  warns of the haunting similarities between today’s American church and the German church of the 1930s. Echoing Bonhoeffer’s prophetic call, Eric Metaxas exhorts his fellow Christians to repent of their silence in the face of evil before it is too late."
Watching You,"Melville Heights is one of the nicest neighbourhoods in Bristol, England; home to doctors and lawyers and old-money academics. It’s not the sort of place where people are brutally murdered in their own kitchens. But it is the sort of place where everyone has a secret. And everyone is watching you.\n\nAs the headmaster credited with turning around the local school, Tom Fitzwilliam is beloved by one and all—including Joey Mullen, his new neighbor, who quickly develops an intense infatuation with this thoroughly charming yet unavailable man. Joey thinks her crush is a secret, but Tom’s teenaged son Freddie—a prodigy with aspirations of becoming a spy for MI5—excels in observing people and has witnessed Joey behaving strangely around his father.\n\nOne of Tom’s students, Jenna Tripp, also lives on the same street, and she’s not convinced her teacher is as squeaky clean as he seems. For one thing, he has taken a particular liking to her best friend and fellow classmate, and Jenna’s mother—whose mental health has admittedly been deteriorating in recent years—is convinced that Mr. Fitzwilliam is stalking her.\n\nMeanwhile, twenty years earlier, a schoolgirl writes in her diary, charting her doomed obsession with a handsome young English teacher named Mr. Fitzwilliam…"
They Never Learn,"From the author of the “raw, ingenious, and utterly fearless” (Wendy Walker, USA TODAY bestselling author) Temper comes a dynamic psychological thriller about two women who give bad men exactly what they deserve.\n\nScarlett Clark is an exceptional English professor. But she’s even better at getting away with murder.\n\nEvery year, she searches for the worst man at Gorman University and plots his well-deserved demise. Thanks to her meticulous planning, she’s avoided drawing attention to herself—but as she’s preparing for her biggest kill yet, the school starts probing into the growing body count on campus. Determined to keep her enemies close, Scarlett insinuates herself into the investigation and charms the woman in charge, Dr. Mina Pierce. Everything’s going according to her master plan…until she loses control with her latest victim, putting her secret life at risk of exposure.\n\nMeanwhile, Gorman student Carly Schiller is just trying to survive her freshman year. Finally free of her emotionally abusive father, all Carly wants is to focus on her studies and fade into the background. Her new roommate has other ideas. Allison Hadley is cool and confident—everything Carly wishes she could be—and the two girls quickly form an intense friendship. So when Allison is sexually assaulted at a party, Carly becomes obsessed with making the attacker pay...and turning her fantasies about revenge into a reality.\n\nFeaturing Layne Fargo’s trademark “propulsive writing style” (Kirkus Reviews) and “sinister, of the moment” (Chicago Review of Books) suspense, They Never Learn is a feminist serial killer story perfect for fans of Killing Eve and Chelsea Cain."
The Plant-Based Athlete: A Game-Changing Approach to Peak Performance,"INSTANT  NEW YORK TIMES  BESTSELLER  The only research-based guide for connecting a plant-based diet with peak athletic performance, featuring interviews with professional athletes who\'ve made the switch from meat to plants. The Plant-Based Athlete  by Matt Frazier and Robert Cheeke reveals the incontrovertible proof that the human body does not need meat, eggs, or dairy to be strong. Instead, research shows that a consciously calibrated plant-based diet offers the greatest possible recovery times, cell oxidation, injury prevention, and restorative sleep, and allows athletes to train more effectively, with better results. However, committing to a plant-based diet as an elite athlete, first-time marathoner, or weekend warrior isn\'t as simple as swapping vegetables for meat. Even the slightest food adjustments can impact performance. That\'s why Matt Frazier, founder of No Meat Athlete, and Robert Cheeke, founder of Vegan Bodybuilding, wrote this groundbreaking book, to guide those interested in making this important shift in how to do so with the best, most transformative results. The Plant-Based Athlete offers readers: An instant classic and mainstay on health and fitness shelves everywhere , The Plant-Based Athlete is the ultimate invitation for joining the growing community of athletes who use plants to power their workouts and their every day."
One of the Boys,A mother knows best... Doesn\'t she?Antonia and Bea are sisters. They are both doting mothers to their sons. But that is where their similarities end.Antonia had her son tested at an early age to ensure her little angel did not possess the \'violent\' M gene.Bea refuses to let her son take the test. His life should not be determined by a positive or negative result.Both of these women will go to any length to protect their sons.But one of them is hiding a monster.And there are going to be fatal consequences for everybody...
Through the Groves: A Memoir,"A richly evocative coming-of-age memoir set in the Florida orange groves of the 1960s by a Pulitzer Prize–winning journalistAnne Hull grew up in rural Central Florida, barefoot half the time and running through the orange groves her father’s family had worked for generations. The ground trembled from the vibrations of bulldozers and jackhammers clearing land for Walt Disney World. “Look now,” her father told her as they rode through the mossy landscape together. “It will all be gone.” But the real threat was at home, where Hull was pulled between her idealistic but self-destructive father and her mother, a glamorous outsider from Brooklyn struggling with her own aspirations. All the while, Hull felt the pressures of girlhood closing in. She dreamed of becoming a traveling salesman who ate in motel coffee shops, accompanied by her baton-twirling babysitter in white boots. As her sexual identity took shape, Hull knew the place she loved would never love her back and began plotting her escape.Here, Hull captures it all—the smells and sounds of a disappearing way of life, the secret rituals and rhythms of a doomed family, the casual racism of the rural South in the 1960s, and the suffocating expectations placed on girls and women.Vividly atmospheric and haunting, Through the Groves will speak to anyone who’s ever left home to cut a path of their own."
Death Loot &amp; Vampires (The Vampire Vincent #1),"No Romance. No Harem. Just Vampires.\n\nBecoming a knockoff Dracula in tight leather pants was never part of Vincent’s plans. Neither was being summoned to another world by a cult of vampire wannabes. But both happened.\n\nNow Vincent’s left picking up the tattered pieces of his humanity as he tries to grow strong enough to keep his family safe. There’s a world filled with nightmares, and the looming threat of losing his soul standing between his goal and his reality, so it’s not like it will be too hard or anything.\n\nHell should tremble.\n\nA good man is going to war."
El favor (Serie Dave Gurney 8) (Spanish Edition),"Pushed to his breaking point and accused of murder, retired NYPD detective Dave Gurney must face his greatest adversary yet to solve a mystery that is quickly tearing his world apart\n\nTennis bad boy Ziko Slade is serving twenty years for the grisly murder of small-time criminal Lenny Lerman. The facts of the case—and Slade’s checkered past—seem indisputable. What begins as a cursory review of the case as a favor to Dave Gurney’s wife’s friend soon spirals into something much more complicated. When Gurney’s involvement threatens to expose a viper’s nest of corruption, he finds himself framed for murder and pursued by a sensational media, a ruthless district attorney, and a coldblooded killer.\n\nAs he evades the law and attempts to solve the case to salvage his reputation, Gurney grapples with the realization that his unshakable need for police work is costing him more than the brilliant detective ever suspected. The Viper is the most shocking and riveting chapter yet in the internationally bestselling Dave Gurney series."
The Ten Thousand Doors of January,"In a sprawling mansion filled with peculiar treasures, January Scaller is a curiosity herself. As the ward of the wealthy Mr. Locke, she feels little different from the artifacts that decorate the halls: carefully maintained, largely ignored, and utterly out of place.\n\nThen she finds a strange book. A book that carries the scent of other worlds, and tells a tale of secret doors, of love, adventure and danger. Each page turn reveals impossible truths about the world and January discovers a story increasingly entwined with her own."
The Outsiders,"The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for &quot;social&quot;) has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he\'s always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy\'s skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.\n\nLibrarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the 1988 cover (this record), the 1995 cover, and the 2008 cover which is also the current in-print cover."
The 9th Man (Luke Daniels #1),"From  New York Times  bestselling author of the Cotton Malone series comes a thrilling, action-packed historical adventure that sends Luke Daniels on an international manhunt for the truth about the assassination of President John Kennedy.\n\nLuke Daniels is in London, between assignments with the Magellan Billet, when he receives a frantic call from an old friend.  Jillian Stein is in trouble.  She made a mistake and now her life may be in danger.  She needs Luke’s help.  Immediately.  Racing to Belgium Luke quickly finds that she was right.  A shadow team of highly-trained operatives are there on the hunt.  Intervening, he finds himself embroiled in a war between two determined sides — one seeking the truth, the other trying to escape the past — a war that has already claimed one life and is about to claim more.   \n\nThomas Rowland is a Washington insider, a kingmaker, problem-solver, but also a man with a past.  For him everything turns with what happened on November 22, 1963 in Dallas, Texas.  What history has recorded is wrong.  There is more to the story, much more, and Thomas Rowland is at the center of that terrible reality.  But forces are working against him, and Rowland will do anything to keep the world from learning what actually happened on that fateful day, including killing Luke, Jillian and anyone else who might be a threat. \n\nIn a race from Belgium, to Luxembourg, to the bayous of Louisiana and the Wyoming wilderness, to a final confrontation in the Bahamas, Luke Daniels confronts a series of shocking truths which not only rewrite history but will forever change his own life — as he comes face to face with the ninth man.   \n \n \n\n\n "
Meant to Be,"The Kingsley family is practically American royalty, beloved for their military heroics, political service, and unmatched elegance. When Joseph S. Kingsley III is born in 1960, he inherits the weight of that legacy. Growing up with all the Kingsley looks and charisma, Joe should have no problem taking up the mantle after his father’s untimely death. But he is also a little bit reckless, and can’t seem to figure out how to channel the expectations of an entire country.\n \nNo one ever expected anything of Cate, on the other hand. She, too, grew up in a single-parent household—just her and her mom scraping by in their small apartment. As a teenager, though, Cate is discovered for her looks. Modeling may be her only ticket out of the cycle of disappointment that her mother has always inhabited. Before too long, her face is everywhere, though she is always aware that she’d be a pariah in her social circles if anyone knew her true story.\n \nWhen Joe and Cate’s paths cross, their connection is instant. What remains to be seen is whether their relationship will survive the glare of the spotlight that follows Joe everywhere. And just as they find themselves in the make-or-break moment, the tragedy that seems to run in Joe’s family right alongside all that privilege will repeat itself.\n \nIn a beautifully written novel that recaptures a gilded moment in American history, Emily Giffin tells a story of a love that may or may not have the power to transcend circumstances that seem arrayed against it... and the difficulty of finding your way to the place you belong."
The Stolen Coast,"Adrift in a sleepy coastal Massachusetts town, a man who ferries fugitives by day gets twisted up in a plot to pilfer diamonds in this Casablanca-infused heist novel.\n\nJack might be a polished, Harvard-educated lawyer on paper, but everyone in the down-at-the-heels, if picturesque, village of Onset, Massachusetts, knows his real job: moving people on the run from powerful enemies. The family business--co-managed with his father, a retired spy--is smooth sailing, as they fill up Onset\'s holiday homes during the town\'s long, drowsy off-season and help clients shed their identities in preparation for fresh starts.\n\nBut when Elena, Jack\'s former flame--a dedicated hustler who\'s no stranger to the fugitive life--makes an unexpected return to town, her arrival upends Jack\'s routine existence. Elena, after all, doesn\'t go anywhere without a scheme in mind, and it isn\'t long before Jack finds himself enmeshed in her latest project: intercepting millions of dollars\' worth of raw diamonds before they\'re shipped overseas.\n\nInfusing a fast-paced plot with sharp wit and stylish prose, CrimeReads editor-in-chief Dwyer Murphy serves up an irresistible page-turner as full of heart as it is of drama."
And Then He Sang a Lullaby,"The inaugural title from Roxane Gay Books, And Then He Sang a Lullaby is a searingly honest and resonant debut from a 23-year-old Nigerian writer and queer liberation activist, exploring what love and freedom cost in a society steeped in homophobia.\n\nAugust is a God-fearing track star who leaves Enugu City to attend university and escape his overbearing sisters. He carries the weight of their lofty expectations, the shame of facing himself, and the haunting memory of a mother he never knew. It’s his first semester and pressures aside, August is making friends, doing well in his classes. He even almost has a girlfriend. There’s only one problem: he can’t stop thinking about Segun, an openly gay student who works at a local cybercafé. Segun carries his own burdens and has been wounded in too many ways. When he meets August, their connection is undeniable, but Segun is reluctant to open himself up to August. He wants to love and be loved by a man who is comfortable in his own skin, who will see and hold and love Segun, exactly as he is.\n\nDespite their differences, August and Segun forge a tender intimacy that defies the violence around them. But there is only so long Segun can stand being loved behind closed doors, while August lives a life beyond the world they’ve created together. And when a new, sweeping anti-gay law is passed, August and Segun must find a way for their love to survive in a Nigeria that was always determined to eradicate them. A tale of rare bravery and profound beauty, And Then He Sang a Lullaby is an extraordinary debut that marks Ani as a voice to watch."
"The Record Keeper (Murphy Shepherd, #3)","With gripping action and heart-wrenching emotion, Charles Martin continues to explore the true power of sacrificial love.\n\nMurphy Shepherd’s last rescue mission very nearly cost him his life. He’d like nothing more than to stay close to his wife and daughters for a while. But Bones’s brother must be stopped, and there are so many who need to know that they are worth rescuing.\n\nAs the cat-and-mouse game moves into the open, Murphy is tested at every turn—both physically and mentally. And then the unthinkable happens: his beloved mentor and friend is taken. Without a trace.\n\nMurphy lives by the mantra that love shows up. But how can he do that when he has no leads?  With heart-stopping clarity, The Record Keeper explores the true cost of leaving the ninety-nine to find the one."
